Date,Value,Month,Year
1949-01-01,31.88,1,1949
1949-02-01,31.88,2,1949
1949-03-01,31.88,3,1949
1949-04-01,31.88,4,1949
1949-05-01,31.88,5,1949
1949-06-01,31.88,6,1949
1949-07-01,31.88,7,1949
1949-08-01,31.88,8,1949
1949-09-01,31.88,9,1949
1949-10-01,31.88,10,1949
1949-11-01,31.88,11,1949
1949-12-01,31.88,12,1949
1950-01-01,35.0,1,1950
1950-02-01,35.0,2,1950
1950-03-01,35.0,3,1950
1950-04-01,35.0,4,1950
1950-05-01,35.0,5,1950
1950-06-01,35.0,6,1950
1950-07-01,35.0,7,1950
1950-08-01,35.0,8,1950
1950-09-01,35.0,9,1950
1950-10-01,35.0,10,1950
1950-11-01,35.0,11,1950
1950-12-01,35.0,12,1950
1951-01-01,35.0,1,1951
1951-02-01,35.0,2,1951
1951-03-01,35.0,3,1951
1951-04-01,35.0,4,1951
1951-05-01,35.0,5,1951
1951-06-01,35.0,6,1951
1951-07-01,35.0,7,1951
1951-08-01,35.0,8,1951
1951-09-01,35.0,9,1951
1951-10-01,35.0,10,1951
1951-11-01,35.0,11,1951
1951-12-01,35.0,12,1951
1952-01-01,34.69,1,1952
1952-02-01,34.69,2,1952
1952-03-01,34.69,3,1952
1952-04-01,34.69,4,1952
1952-05-01,34.69,5,1952
1952-06-01,34.69,6,1952
1952-07-01,34.69,7,1952
1952-08-01,34.69,8,1952
1952-09-01,34.69,9,1952
1952-10-01,34.69,10,1952
1952-11-01,34.69,11,1952
1952-12-01,34.69,12,1952
1953-01-01,35.0,1,1953
1953-02-01,35.0,2,1953
1953-03-01,35.0,3,1953
1953-04-01,35.0,4,1953
1953-05-01,35.0,5,1953
1953-06-01,35.0,6,1953
1953-07-01,35.0,7,1953
1953-08-01,35.0,8,1953
1953-09-01,35.0,9,1953
1953-10-01,35.0,10,1953
1953-11-01,35.0,11,1953
1953-12-01,35.0,12,1953
1954-01-01,35.31,1,1954
1954-02-01,35.31,2,1954
1954-03-01,35.31,3,1954
1954-04-01,35.31,4,1954
1954-05-01,35.31,5,1954
1954-06-01,35.31,6,1954
1954-07-01,35.31,7,1954
1954-08-01,35.31,8,1954
1954-09-01,35.31,9,1954
1954-10-01,35.31,10,1954
1954-11-01,35.31,11,1954
1954-12-01,35.31,12,1954
1955-01-01,35.31,1,1955
1955-02-01,35.31,2,1955
1955-03-01,35.31,3,1955
1955-04-01,35.31,4,1955
1955-05-01,35.31,5,1955
1955-06-01,35.31,6,1955
1955-07-01,35.31,7,1955
1955-08-01,35.31,8,1955
1955-09-01,35.31,9,1955
1955-10-01,35.31,10,1955
1955-11-01,35.31,11,1955
1955-12-01,35.31,12,1955
1956-01-01,35.31,1,1956
1956-02-01,35.31,2,1956
1956-03-01,35.31,3,1956
1956-04-01,35.31,4,1956
1956-05-01,35.31,5,1956
1956-06-01,35.31,6,1956
